FEXOFENADINE ZYFEN	Fexofenadine HCl 120mg	Tablets	Antihistamines & Allergy
LORATADINE 10MG	Loratadine 10mg	Tablets	Antihistamines & Allergy
PROMETHAZINE 25MG	Promethazine HCl 25mg	Tablets	Antihistamines & Allergy
MONTEWIN	Montelukast 10mg	Tablets	Antihistamines & Allergy
CARBIMAZOLE 5MG	Carbimazole 5mg	Tablets	Hormones & Endocrine
HYDROCORTISONE INJECTION	Hydrocortisone Sodium Succinate 100mg	Injection	Hormones & Endocrine
LEVOTHYROXINE 100MCG	Levothyroxine 100mcg	Tablets	Hormones & Endocrine
PREDNISOLONE 5MG	Prednisolone 5mg	Tablets	Hormones & Endocrine
BONJELA ADULT GEL	Choline Salicylate 8.7%	Oral Gel	Oral & Dental
DECATYLIN LOZENGES	Dequalinium + Benzocaine	Lozenges	Oral & Dental
LISTERINE MOUTHWASH	Essential Oils 250ml	Mouthwash	Oral & Dental
STREPSILS LOZENGES	Amylmetacresol + Dichlorobenzyl Alcohol	Lozenges	Oral & Dental
LIDOCAINE GEL	Lidocaine HCl 2%	Gel	Oral & Dental
BP MONITOR VIVAGUARD	Automatic BP Monitor	Device	Devices & Monitoring
GLUCOSE MONITOR VIVACHECK	Blood Glucose Monitor	Device	Devices & Monitoring
GLUCOSE STRIPS	Blood Glucose Test Strips	Strips	Devices & Monitoring
MALARIA TEST KIT	Rapid Diagnostic Test	Test Kit	Devices & Monitoring
PREGNANCY TEST KIT	hCG Urine Pregnancy Test	Test Kit	Devices & Monitoring
DEXTROSE 10% INFUSION	Dextrose 10% 500ml	Infusion	Infusions & Injections
NORMAL SALINE INFUSION	Sodium Chloride 0.9% 500ml	Infusion	Infusions & Injections
RINGERS LACTATE INFUSION	Compound Sodium Lactate 500ml	Infusion	Infusions & Injections
WATER FOR INJECTION	Sterile Water 10ml/20ml	Injection	Infusions & Injections
TETANUS INJECTION	Tetanus Toxoid 0.5ml	Injection	Infusions & Injections
SAVLON ANTISEPTIC CREAM	Chlorhexidine + Cetrimide	Cream	Wound Care & Dressings
SAVLON ANTISEPTIC SOLUTION	Chlorhexidine + Cetrimide 250ml	Solution	Wound Care & Dressings
COTTON WOOL 100G	Absorbent Cotton Wool 100g	Dressing	Wound Care & Dressings
PLASTER STRIPS	Adhesive Wound Strips	Strips	Wound Care & Dressings
EXAMINATION GLOVES	Latex/Nitrile Examination Gloves	Gloves	Consumables & Sundries
FACE MASK	Surgical Disposable Face Mask	Mask	Consumables & Sundries
INFUSION SET	IV Administration Set	Set	Consumables & Sundries
SYRINGE 2CC	Disposable Syringe 2ml	Syringe	Consumables & Sundries
SYRINGE 10CC	Disposable Syringe 10ml	Syringe	Consumables & Sundries
ARISE CONDOMS	Latex Male Condom	Condom	Sexual Health
FIESTA CONDOM	Latex Male Condom	Condom	Sexual Health
K-Y GEL	Water-based Lubricant 82g	Gel	Sexual Health
ROUGH RIDER CONDOM	Textured Latex Condom	Condom	Sexual Health
CITY BLOOD TONIC	Iron + Herbal Blood Tonic	Tonic	Herbal & Traditional
COA PLUS MIXTURE	Herbal Mixture	Mixture	Herbal & Traditional
TAABEA MIXTURE	Traditional Herbal Mixture Ghana	Mixture	Herbal & Traditional
APETAMIN SYRUP	Cyproheptadine + Vitamins + Lysine	Syrup	Miscellaneous
ROBB OINTMENT	Methyl Salicylate + Menthol + Camphor	Ointment	Miscellaneous
ORDY 20 TADALAFIL	Tadalafil 20mg	Tablets	Miscellaneous
ZULU 100 TAB	Sildenafil 100mg	Tablets	Miscellaneous
TOTHEMA AMPOULES	Iron III Gluconate 50mg/10ml	Oral Ampoules	Miscellaneous
ARTHOFLEX	Glucosamine + Chondroitin	Tablets	Rheumatology & MSK
CYSTONE	Kidney Stone / UTI Herbal	Tablets	Rheumatology & MSK
FREE FLEX	Glucosamine + Chondroitin + MSM	Capsules	Rheumatology & MSK
ROBAXIN MSK	Methocarbamol 750mg	Tablets	Rheumatology & MSK
FINASTERIDE 5MG	Finasteride 5mg	Tablets	Urology
OXYBUTYNIN 5MG	Oxybutynin 5mg	Tablets	Urology
TAMSULOSIN 400MCG	Tamsulosin 400mcg	Capsules	Urology
AUNTE MARY GRIPE WATER	Dill Oil + Sodium Bicarbonate	Gripe Water	Paediatrics & Infant Care
BONNISAN SYRUP	Dill + Caraway Paediatric Tonic	Syrup	Paediatrics & Infant Care
COLICAID DROPS	Simethicone + Dill Oil	Drops	Paediatrics & Infant Care
DEXTROLITES ORS	Oral Rehydration Salts	Sachets	Paediatrics & Infant Care
PRIMADOL SYRUP	Paracetamol 120mg/5ml Paediatric	Syrup	Paediatrics & Infant Care
BORGES OLIVE OIL	Olive Oil 125ml	Oil	Personal Care & Cosmetics
DOVE DEODORANT SPRAY	Deodorant Antiperspirant	Spray	Personal Care & Cosmetics
REXONA ROLL-ON	Antiperspirant Roll-on	Roll-on	Personal Care & Cosmetics
